Index: Init, Total -- indiv
20350: 3060.0, 3059.9959999999996 -- [ 2904.43    155.566]
20452: 3060.0, 2791.9739999999997 -- [ 2502.99    288.984]
20467: 3060.0, 1471.342 -- [ 1274.49    196.852]
20585: 3060.0, 3060.0 -- [ 2240.59   819.41]
20636: 3060.0, 3060.002 -- [ 2852.93    207.072]
20911: 3060.0, 2303.132 -- [  191.032  2112.1  ]
21062: 3060.0, 2296.385 -- [ 1708.2     588.185]
21267: 3060.0, 2746.13 -- [ 1134.55  1611.58]
21343: 3060.0, 3060.0 -- [ 2857.86   202.14]
21723: 3060.0, 2887.8912 -- [   23.8212  2864.07  ]
21785: 3060.0, 2924.224 -- [ 2789.28    134.944]
21936: 3060.0, 2870.836 -- [  534.636  2336.2  ]
22268: 3060.0, 3059.9990000000003 -- [  234.549  2546.32    279.13 ]
22367: 3060.0, 2448.3790000000004 -- [  317.579  2130.8  ]
22775: 3060.0, 3059.9950000000003 -- [  264.945  2795.05 ]
22891: 3060.0, 3059.9979999999996 -- [ 2742.24    317.758]
22982: 3060.0, 0.0 -- []
23329: 3060.0, 198.63420000000002 -- [ 165.175    33.4592]
23661: 3060.0, 2091.103 -- [ 1853.87    237.233]
23827: 3060.0, 647.49936 -- [   6.72436  640.775  ]
23981: 3060.0, 807.78 -- [  74.118  733.662]
23999: 3060.0, 541.059 -- [ 215.909  325.15 ]
24085: 3060.0, 2737.561 -- [ 2465.21    272.351]
24103: 3060.0, 2613.5420000000004 -- [ 2461.55    151.992]
24179: 3060.0, 2521.1940000000004 -- [  285.394  2235.8  ]
24253: 3060.0, 3060.0 -- [  204.76  2855.24]
24286: 3060.0, 3060.004 -- [ 2856.91    203.094]
24398: 3060.0, 3059.9959999999996 -- [ 2912.47    147.526]
24416: 3060.0, 2948.914 -- [ 2844.71    104.204]
24428: 3060.0, 29.144299999999998 -- [ 11.8814  17.2629]
24444: 3060.0, 2763.5 -- [ 1662.59  1100.91]
24466: 3060.0, 2815.05 -- [ 1412.98  1402.07]
24482: 3060.0, 2453.815 -- [ 2292.35    161.465]
24743: 3060.0, 2713.169 -- [ 2265.4     447.769]
24769: 3060.0, 2894.038 -- [ 2820.34     73.698]
24988: 3060.0, 2599.52 -- [ 1594.07  1005.45]
25013: 3060.0, 3059.999 -- [ 2940.24    119.759]
25063: 3060.0, 1925.4180000000001 -- [ 1550.68    374.738]
25094: 3060.0, 1581.439 -- [  370.459  1210.98 ]
25169: 3060.0, 1847.9830000000002 -- [ 1196.67    651.313]
25201: 3060.0, 0.0 -- []
25262: 3060.0, 3059.9990000000003 -- [ 2870.34    189.659]
25407: 3060.0, 2502.509 -- [ 2201.75    300.759]
25429: 3060.0, 3059.9982 -- [   62.0422  2697.66     300.296 ]
25482: 3060.0, 1396.0985 -- [   42.1385  1353.96  ]
25516: 3060.0, 2775.911 -- [ 2668.54    107.371]
25597: 3060.0, 147.2986 -- [ 71.7607  75.5379]
25724: 3060.0, 357.827 -- [ 318.943   38.884]
25793: 3060.0, 2698.3269999999998 -- [  183.477  2514.85 ]
25832: 3060.0, 882.2159999999999 -- [ 465.876  416.34 ]
25845: 3060.0, 2742.2521 -- [   28.8721  2713.38  ]
26036: 3060.0, 1783.8195 -- [   55.6395  1728.18  ]
26063: 3060.0, 3059.9970000000003 -- [  564.447  2495.55 ]
26131: 3060.0, 1819.0148000000002 -- [  300.524    329.377     13.1538  1175.96  ]
26383: 3060.0, 2345.1639999999998 -- [ 1538.26    806.904]
26410: 3060.0, 3060.0022000000004 -- [  281.974      5.7582  2772.27  ]
26467: 3060.0, 3060.0009999999997 -- [  294.841  2765.16 ]
26598: 3060.0, 1126.045 -- [ 975.907  150.138]
26763: 3060.0, 2840.673 -- [ 2687.93    152.743]
26889: 3060.0, 2314.575 -- [ 2019.5     295.075]
26969: 3060.0, 2918.096 -- [  297.396  2620.7  ]
27007: 3060.0, 1858.1419999999998 -- [  313.092  1545.05 ]
27240: 3060.0, 1268.044 -- [ 1086.17    181.874]
27252: 3060.0, 3060.005 -- [ 2890.78    169.225]
27306: 3060.0, 948.6310000000001 -- [ 162.215  786.416]
27370: 3060.0, 2818.888 -- [ 2665.15    153.738]
27532: 3060.0, 3060.001 -- [ 2898.44    161.561]
27635: 3060.0, 2368.4648 -- [ 2351.03      17.4348]
27646: 3060.0, 2961.3360000000002 -- [  493.496  2467.84 ]
27786: 3060.0, 3060.004 -- [ 2734.99    325.014]
27811: 3060.0, 3059.9959999999996 -- [ 2918.24    141.756]
27964: 3060.0, 3060.0 -- [  392.17  2667.83]
28062: 3060.0, 3060.002 -- [ 2819.48    240.522]
28113: 3060.0, 2035.53538 -- [ 2031.99        3.54538]
28189: 3060.0, 2599.0039199999997 -- [ 2590.93        8.07392]
28196: 3060.0, 3059.999 -- [ 2905.6     154.399]
28204: 3060.0, 1846.423 -- [ 1399.67    446.753]
28279: 3060.0, 1285.6492 -- [ 1252.19      33.4592]
28375: 3060.0, 2365.005 -- [ 2127.29    237.715]
28432: 3060.0, 2588.6730000000002 -- [  183.713  2404.96 ]
28833: 3060.0, 2916.792 -- [   15.322  2901.47 ]
28899: 3060.0, 1708.106 -- [  255.086  1453.02 ]
29065: 3060.0, 2705.1006 -- [   96.2006  2608.9   ]
29313: 3060.0, 1444.8609999999999 -- [  399.511  1045.35 ]
29398: 3060.0, 2937.871 -- [  441.231  2496.64 ]
29710: 3060.0, 1466.001 -- [ 970.868  495.133]
29806: 3060.0, 2904.508 -- [  167.218  2737.29 ]
29897: 3060.0, 2738.0685000000003 -- [ 2667.03      71.0385]
29959: 3060.0, 2129.015 -- [ 1615.96    513.055]
30044: 3060.0, 2666.953 -- [ 2233.46    433.493]
30349: 3060.0, 2174.5480000000002 -- [  389.108  1785.44 ]
30583: 3060.0, 3059.9950000000003 -- [ 2933.34    126.655]
30657: 3060.0, 595.9212 -- [ 560.609    35.3122]
30752: 3060.0, 3060.004 -- [ 2652.72    407.284]
30954: 3060.0, 1531.7469999999998 -- [ 1413.81    117.937]
31070: 3060.0, 2889.0589999999997 -- [ 2777.93    111.129]
31105: 3060.0, 3059.9990000000003 -- [  115.409  2944.59 ]
31225: 3060.0, 2845.373 -- [ 2337.94    507.433]
31394: 3060.0, 2010.6153000000002 -- [   89.2353  1921.38  ]
31409: 3060.0, 2548.857 -- [ 2294.55    254.307]
31439: 3060.0, 3059.9990000000003 -- [ 2955.4     104.599]
31680: 3060.0, 604.819 -- [ 499.417  105.402]
31730: 3060.0, 2642.264 -- [  133.964  2508.3  ]
31757: 3060.0, 3060.0029999999997 -- [ 2876.89    183.113]
31853: 3060.0, 3059.995 -- [  182.455  2877.54 ]
31919: 3060.0, 1529.045 -- [ 648.969  880.076]
32099: 3060.0, 1866.3892 -- [ 1832.93      33.4592]
