Index: Init, Total -- indiv
464476: 3060.0, 2800.259 -- [ 2691.84    108.419]
464477: 3060.0, 2070.696 -- [ 1362.63    708.066]
464526: 3060.0, 352.74609999999996 -- [ 293.167    59.5791]
464673: 3060.0, 1949.6999999999998 -- [  286.39  1663.31]
464678: 3060.0, 3059.999 -- [ 2879.77    180.229]
464845: 3060.0, 2881.692 -- [  225.812  2655.88 ]
464881: 3060.0, 2655.8188 -- [  116.632     23.7168  2515.47  ]
464898: 3060.0, 3059.998 -- [  155.638  2904.36 ]
464965: 3060.0, 2638.5181 -- [   75.4581  2563.06  ]
465165: 3060.0, 3059.996 -- [ 2863.98    196.016]
465212: 3060.0, 3060.005 -- [ 2868.58    191.425]
465298: 3060.0, 3059.9959999999996 -- [  199.546  2860.45 ]
465403: 3060.0, 2174.4853 -- [ 2114.39      60.0953]
465560: 3060.0, 599.592 -- [ 260.724  338.868]
465744: 3060.0, 1858.189 -- [  122.949  1735.24 ]
465828: 3060.0, 2436.107 -- [ 2260.74    175.367]
465931: 3060.0, 3060.0029999999997 -- [  293.803  2766.2  ]
466007: 3060.0, 3025.255 -- [ 2821.07    204.185]
466080: 3060.0, 2800.665 -- [  566.475  2234.19 ]
466293: 3060.0, 2256.4986 -- [ 1955.36      64.0816   237.057 ]
466319: 3060.0, 3060.003 -- [  229.563  2830.44 ]
466320: 3060.0, 2784.9734 -- [ 2774.62      10.3534]
466329: 3060.0, 1795.166 -- [ 1627.6     167.566]
466337: 3060.0, 2756.578 -- [ 2638.77    117.808]
466346: 3060.0, 2899.7450000000003 -- [ 2714.53    185.215]
466371: 3060.0, 2454.8104 -- [ 2443.46      11.3504]
466372: 3060.0, 2472.3207 -- [   84.2107  2388.11  ]
466451: 3060.0, 2012.1642 -- [   75.1552  1705.85     231.159 ]
466493: 3060.0, 1390.665 -- [  130.645  1260.02 ]
466700: 3060.0, 1897.4024 -- [ 1805.61      91.7924]
466763: 3060.0, 2688.472 -- [ 2459.17    229.302]
467151: 3060.0, 2910.506 -- [  173.906  2736.6  ]
467186: 3060.0, 2825.9293399999997 -- [  5.19480000e+01   1.17134000e+00   2.77281000e+03]
467219: 3060.0, 3059.9990000000003 -- [ 2907.03    152.969]
467241: 3060.0, 791.749 -- [ 465.996  325.753]
467597: 3060.0, 3059.996 -- [  219.716  2840.28 ]
467599: 3060.0, 2653.2995 -- [ 2586.56      66.7395]
467802: 3060.0, 2831.6158 -- [ 2745.12      86.4958]
467825: 3060.0, 3059.9979999999996 -- [ 2697.68    362.318]
467885: 3060.0, 2140.7000000000003 -- [  362.79  1777.91]
468071: 3060.0, 1684.8780000000002 -- [ 999.806  685.072]
468124: 3060.0, 2477.3829 -- [ 2406.35      71.0329]
468195: 3060.0, 2862.70972 -- [    6.48972  2856.22   ]
468259: 3060.0, 3060.0029999999997 -- [ 2898.93    161.073]
468263: 3060.0, 2816.4719999999998 -- [ 2714.7     101.772]
468273: 3060.0, 2789.36 -- [  124.3   2665.06]
468346: 3060.0, 3020.719 -- [  297.009  2723.71 ]
468699: 3060.0, 1024.271 -- [ 874.146   31.457  118.668]
468992: 3060.0, 3060.0009999999997 -- [ 2869.31    190.691]
469176: 3060.0, 2877.64413 -- [    6.72413  2870.92   ]
469242: 3060.0, 2687.302 -- [ 2149.28    538.022]
469246: 3060.0, 2866.988 -- [ 2529.85    337.138]
469301: 3060.0, 2073.57 -- [ 1863.43   210.14]
469358: 3060.0, 3059.998 -- [ 2917.34    142.658]
469441: 3060.0, 512.4675 -- [ 481.002    31.4655]
469704: 3060.0, 3059.9970000000003 -- [  269.307  2790.69 ]
469819: 3060.0, 2931.6915 -- [ 2851.74      79.9515]
469960: 3060.0, 2561.8217 -- [   26.4017  2535.42  ]
470047: 3060.0, 2132.2529999999997 -- [ 1171.82    960.433]
470077: 3060.0, 892.4899 -- [ 815.787    76.7029]
470146: 3060.0, 3060.001 -- [  220.811  2839.19 ]
470321: 3060.0, 2683.9186 -- [   51.4986  2632.42  ]
470412: 3060.0, 2202.17 -- [  492.57  1709.6 ]
470533: 3060.0, 2367.117 -- [  197.479  2013.25    156.388]
470620: 3060.0, 3060.0009999999997 -- [  210.131  2849.87 ]
470643: 3060.0, 1421.204 -- [ 474.261  946.943]
470657: 3060.0, 2690.0029 -- [  238.833     71.1699  2380.    ]
470800: 3060.0, 2707.8050000000003 -- [ 2376.57    331.235]
470918: 3060.0, 2748.693 -- [ 2605.76    142.933]
471053: 3060.0, 1539.557 -- [ 1493.81     45.747]
471094: 3060.0, 3060.002 -- [  183.122  2876.88 ]
471137: 3060.0, 2610.5099999999998 -- [  209.77  2400.74]
471219: 3060.0, 2716.83 -- [  952.22  1764.61]
471224: 3060.0, 3015.7690000000002 -- [ 2776.46    239.309]
471388: 3060.0, 2394.083 -- [ 2175.39    218.693]
471624: 3060.0, 1054.1120600000002 -- [ 1045.95        8.16206]
471756: 3060.0, 2595.7090000000003 -- [ 2285.55    310.159]
471844: 3060.0, 2691.74 -- [ 1283.51  1408.23]
471968: 3060.0, 2853.2470000000003 -- [  154.327  2698.92 ]
471972: 3060.0, 3060.0009999999997 -- [  158.361  2901.64 ]
472011: 3060.0, 654.1461 -- [  18.5231  635.623 ]
472169: 3060.0, 1764.5167000000001 -- [   78.0367  1686.48  ]
472181: 3060.0, 3059.9990000000003 -- [  170.132  2679.28    210.587]
472213: 3060.0, 2712.397 -- [  429.077  2283.32 ]
472297: 3060.0, 1302.634 -- [  160.114  1142.52 ]
472309: 3060.0, 2708.0122 -- [  118.64      31.9522  2557.42  ]
472368: 3060.0, 2543.998 -- [  131.468  2412.53 ]
472369: 3060.0, 2776.15 -- [ 2312.23   463.92]
472579: 3060.0, 3060.0 -- [ 2803.93   256.07]
472600: 3060.0, 3020.711 -- [  302.341  2718.37 ]
472976: 3060.0, 3060.0040000000004 -- [ 2924.32    135.684]
473088: 3060.0, 3059.9970000000003 -- [ 2935.57    124.427]
473540: 3060.0, 3060.003 -- [  127.063  2932.94 ]
473641: 3060.0, 2235.561 -- [  118.931  2116.63 ]
473788: 3060.0, 2248.497 -- [  473.197  1775.3  ]
473863: 3060.0, 942.827 -- [ 320.934  621.893]
473937: 3060.0, 2849.037 -- [  157.267  2691.77 ]
473982: 3060.0, 3059.997 -- [ 2888.89    171.107]
474096: 3060.0, 1928.31 -- [  272.1   1656.21]
474160: 3060.0, 1992.4940000000001 -- [  208.084  1784.41 ]
474432: 3060.0, 3060.004 -- [  155.874  2904.13 ]
474442: 3060.0, 2930.936 -- [ 2554.09    376.846]
474450: 3060.0, 2750.1053 -- [   74.1053  2676.    ]
474481: 3060.0, 3059.9990000000003 -- [ 2863.53    196.469]
474532: 3060.0, 2890.0420000000004 -- [  435.432  2454.61 ]
474899: 3060.0, 3059.996 -- [  211.336  2848.66 ]
475020: 3060.0, 1292.328 -- [ 404.129  888.199]
475102: 3060.0, 3060.002 -- [ 2776.46    283.542]
475145: 3060.0, 2820.1812 -- [ 2789.76      30.4212]
475161: 3060.0, 2901.3959999999997 -- [  125.196  2776.2  ]
475190: 3060.0, 3059.99896 -- [  1.84795000e+02   2.23396000e+00   2.87297000e+03]
475262: 3060.0, 3060.0 -- [ 2836.75   223.25]
475338: 3060.0, 2870.341 -- [  320.051  2550.29 ]
475407: 3060.0, 609.777 -- [ 103.741  506.036]
475427: 3060.0, 2806.658 -- [ 2670.15    136.508]
475497: 3060.0, 2739.565 -- [ 2648.84     90.725]
475562: 3060.0, 1665.38482 -- [    3.54736     4.12746  1657.71   ]
475811: 3060.0, 2473.858 -- [  237.248  2236.61 ]
475866: 3060.0, 2785.9470300000003 -- [ 2778.26        7.68703]
475868: 3060.0, 489.9772 -- [ 456.518    33.4592]
475895: 3060.0, 3060.0009999999997 -- [ 2832.56    227.441]
475920: 3060.0, 2770.1839 -- [ 2704.16      66.0239]
475995: 3060.0, 1491.511 -- [ 769.467  722.044]
476061: 3060.0, 1580.652 -- [  105.182  1475.47 ]
476132: 3060.0, 2748.2560000000003 -- [  237.726  2510.53 ]
476239: 3060.0, 3060.0049999999997 -- [  325.575  2734.43 ]
476295: 3060.0, 3059.9950000000003 -- [  219.425  2840.57 ]
476504: 3060.0, 2356.35 -- [  106.37  2249.98]
476516: 3060.0, 468.9769 -- [  49.0669  419.91  ]
476708: 3060.0, 1013.522 -- [ 283.47   730.052]
476778: 3060.0, 2093.2349999999997 -- [ 1252.35    840.885]
476985: 3060.0, 2917.5443 -- [ 2825.44      92.1043]
477045: 3060.0, 2638.827 -- [  179.487  2459.34 ]
477053: 3060.0, 1359.7910000000002 -- [  163.891  1195.9  ]
477057: 3060.0, 1208.512 -- [ 362.103  846.409]
477345: 3060.0, 2504.5309 -- [ 2481.34      23.1909]
477370: 3060.0, 2349.777 -- [ 1585.15    123.577   641.05 ]
477401: 3060.0, 3059.9970000000003 -- [  126.427  2933.57 ]
477442: 3060.0, 2784.6209999999996 -- [  140.901  2643.72 ]
477578: 3060.0, 3060.0 -- [  139.97  2920.03]
477625: 3060.0, 3060.001 -- [ 2716.26    343.741]
477629: 3060.0, 2526.0904 -- [   46.3604  2479.73  ]
477641: 3060.0, 2273.8035999999997 -- [   29.6036  2244.2   ]
477689: 3060.0, 2938.0101 -- [ 2890.11      47.9001]
477758: 3060.0, 2882.7007999999996 -- [   70.5008  2812.2   ]
477776: 3060.0, 801.1485 -- [ 746.169    54.9795]
477839: 3060.0, 1448.268 -- [ 1249.83    198.438]
478009: 3060.0, 1027.923 -- [ 777.51   250.413]
478532: 3060.0, 1550.5136 -- [   49.7036  1500.81  ]
478706: 3060.0, 2415.4404 -- [   87.8704  2327.57  ]
478839: 3060.0, 3060.003 -- [ 2881.09    178.913]
478937: 3060.0, 2839.0176 -- [   67.0076  2772.01  ]
479013: 3060.0, 3059.996 -- [ 2870.51    189.486]
479409: 3060.0, 2697.6787999999997 -- [   13.5588  2684.12  ]
479519: 3060.0, 3060.002 -- [  126.052  2933.95 ]
479522: 3060.0, 2038.002 -- [ 1371.67    666.332]
479553: 3060.0, 1371.372 -- [ 447.959  923.413]
479580: 3060.0, 1913.1893 -- [   12.3193  1900.87  ]
479725: 3060.0, 1272.597 -- [ 281.427  991.17 ]
479754: 3060.0, 2080.8265 -- [   79.0365  2001.79  ]
479912: 3060.0, 2251.491 -- [ 2115.58    135.911]
480255: 3060.0, 1836.109 -- [  278.829  1557.28 ]
480407: 3060.0, 2886.905 -- [  109.255  2777.65 ]
480513: 3060.0, 3005.404 -- [  953.034  2052.37 ]
480530: 3060.0, 2832.3711 -- [   60.1451   242.546   2529.68  ]
480658: 3060.0, 2492.383 -- [  453.063   308.85   1730.47 ]
480869: 3060.0, 3059.9990000000003 -- [ 2902.13    157.869]
480889: 3060.0, 1789.725 -- [ 1655.11    134.615]
480962: 3060.0, 825.4830999999999 -- [ 750.031    75.4521]
481005: 3060.0, 3060.0 -- [  253.24  2806.76]
481173: 3060.0, 3059.998 -- [  341.358  2718.64 ]
481293: 3060.0, 2272.757 -- [ 2161.8     110.957]
481403: 3060.0, 3059.996 -- [  147.896  2912.1  ]
481409: 3060.0, 2304.5049999999997 -- [  233.651  1631.58    439.274]
481417: 3060.0, 807.489 -- [ 345.635  164.894  296.96 ]
481466: 3060.0, 193.63909999999998 -- [ 100.044    93.5951]
481516: 3060.0, 547.7101 -- [  37.5371  510.173 ]
481686: 3060.0, 699.886 -- [ 327.513  372.373]
481710: 3060.0, 2603.3011 -- [   49.7611  2553.54  ]
482121: 3060.0, 3060.0029999999997 -- [  246.113  2813.89 ]
482274: 3060.0, 1746.829 -- [  102.539  1644.29 ]
482297: 3060.0, 2945.9908 -- [ 2921.23      24.7608]
482343: 3060.0, 3060.004 -- [  217.674  2842.33 ]
482345: 3060.0, 602.144 -- [ 125.43   476.714]
482371: 3060.0, 2665.9586 -- [   59.4586  2606.5   ]
482478: 3060.0, 2891.891 -- [ 2697.3     194.591]
482613: 3060.0, 2834.796 -- [  110.406  2724.39 ]
482887: 3060.0, 2505.4674999999997 -- [ 2424.83      80.6375]
482987: 3060.0, 2640.3360000000002 -- [ 2512.03    128.306]
483124: 3060.0, 2892.8895 -- [   46.5095  2846.38  ]
483148: 3060.0, 2239.407 -- [ 2075.58    163.827]
483440: 3060.0, 3060.001 -- [ 2723.98    336.021]
484087: 3060.0, 936.018 -- [ 799.402  136.616]
484100: 3060.0, 2797.1929 -- [ 2755.89      41.3029]
484203: 3060.0, 3060.0 -- [ 2688.74   371.26]
484225: 3060.0, 3059.9990000000003 -- [  549.219  2510.78 ]
484395: 3060.0, 1056.0476999999998 -- [   10.6877  1045.36  ]
484468: 3060.0, 2799.7822 -- [   49.4422  2750.34  ]
484474: 3060.0, 3059.999 -- [ 2849.98    210.019]
484504: 3060.0, 2077.476 -- [  108.916  1968.56 ]
484546: 3060.0, 2930.249 -- [ 2760.22    170.029]
484580: 3060.0, 2003.602 -- [  765.462  1238.14 ]
484627: 3060.0, 3059.999 -- [ 2878.47    181.529]
484879: 3060.0, 3059.995 -- [  390.395  2669.6  ]
484883: 3060.0, 3059.996 -- [  182.896  2877.1  ]
484934: 3060.0, 2656.307 -- [  889.767  1766.54 ]
485007: 3060.0, 3060.0 -- [ 2821.32   238.68]
485012: 3060.0, 2937.9367 -- [ 2884.38      53.5567]
485045: 3060.0, 1367.353 -- [ 950.198  417.155]
485099: 3060.0, 2874.6400000000003 -- [  122.07  2752.57]
485206: 3060.0, 2047.749 -- [  667.219  1380.53 ]
485262: 3060.0, 819.1196 -- [  30.6566  788.463 ]
485387: 3060.0, 1927.2756 -- [ 1829.31      97.9656]
485686: 3060.0, 3060.0019999999995 -- [  561.262  2498.74 ]
485798: 3060.0, 2732.9990000000003 -- [  171.099  2561.9  ]
486066: 3060.0, 3060.004 -- [ 2893.23    166.774]
486080: 3060.0, 1003.888 -- [ 140.514  863.374]
486170: 3060.0, 719.3689999999999 -- [ 131.45   587.919]
486410: 3060.0, 3059.998 -- [  243.958  2816.04 ]
486520: 3060.0, 2107.2979 -- [ 2056.42      50.8779]
486611: 3060.0, 114.8538 -- [ 51.185   33.4592  30.2096]
486710: 3060.0, 3060.002 -- [  137.332  2922.67 ]
486842: 3060.0, 2224.34 -- [ 1739.06   485.28]
486860: 3060.0, 2472.183 -- [ 1908.7     280.347   283.136]
486861: 3060.0, 2300.626 -- [ 2186.27    114.356]
486895: 3060.0, 2857.558 -- [ 2531.99    325.568]
486898: 3060.0, 746.65 -- [ 108.247  638.403]
486927: 3060.0, 1988.4094 -- [ 1929.43      58.9794]
487166: 3060.0, 2517.1330000000003 -- [   16.583  2500.55 ]
487179: 3060.0, 3060.001 -- [  283.731  2776.27 ]
487190: 3060.0, 1637.003 -- [ 781.592  855.411]
487266: 3060.0, 2750.977 -- [   52.807  2698.17 ]
487287: 3060.0, 2124.1943 -- [ 2025.67      98.5243]
487352: 3060.0, 2366.8212999999996 -- [ 2292.49      74.3313]
487374: 3060.0, 3059.997 -- [  124.607  2935.39 ]
487416: 3060.0, 1620.163 -- [ 1266.38    353.783]
487834: 3060.0, 3060.0 -- [ 2943.64   116.36]
487958: 3060.0, 2436.3314 -- [   77.0394   130.452   2228.84  ]
488000: 3060.0, 2846.548 -- [  501.808  2344.74 ]
488012: 3060.0, 2579.035 -- [  146.315  2432.72 ]
488057: 3060.0, 2673.723 -- [ 2536.6     137.123]
488071: 3060.0, 2381.825 -- [ 2185.69    196.135]
488256: 3060.0, 2692.453 -- [ 2502.21    190.243]
488299: 3060.0, 1446.7530000000002 -- [  439.803  1006.95 ]
488435: 3060.0, 2977.141 -- [  168.811  2808.33 ]
488768: 3060.0, 3025.258 -- [ 2852.62    172.638]
488887: 3060.0, 2785.8394000000003 -- [ 2746.53      39.3094]
488913: 3060.0, 1748.753 -- [  195.383  1553.37 ]
488914: 3060.0, 2845.533 -- [  204.973  2640.56 ]
489027: 3060.0, 842.909 -- [ 506.128  336.781]
489060: 3060.0, 1176.01 -- [ 999.627  176.383]
489086: 3060.0, 2440.839 -- [ 1855.83    585.009]
489264: 3060.0, 2849.442 -- [  213.692  2635.75 ]
489374: 3060.0, 3059.999 -- [ 2820.21    239.789]
489532: 3060.0, 3059.9970000000003 -- [  237.887  2822.11 ]
489573: 3060.0, 706.318 -- [ 522.864  183.454]
489750: 3060.0, 2740.74 -- [  118.62  2622.12]
489942: 3060.0, 2470.7219999999998 -- [  238.622  2232.1  ]
489968: 3060.0, 2588.395 -- [  128.995  2459.4  ]
489995: 3060.0, 2050.408 -- [ 1463.57    586.838]
490087: 3060.0, 3060.002 -- [  309.892  2750.11 ]
490526: 3060.0, 1988.6481999999999 -- [ 1908.58      80.0682]
490559: 3060.0, 3060.0009999999997 -- [ 2954.16    105.841]
490771: 3060.0, 2957.757 -- [  865.167  2092.59 ]
490834: 3060.0, 3059.996 -- [  136.166  2923.83 ]
490985: 3060.0, 2675.837 -- [  495.857  2179.98 ]
491067: 3060.0, 2171.034 -- [  719.154  1451.88 ]
491083: 3060.0, 193.11918 -- [   7.64018  185.479  ]
491110: 3060.0, 1786.7465 -- [ 1749.35      37.3965]
491163: 3060.0, 2416.3399999999997 -- [  145.35  2270.99]
491182: 3060.0, 3060.0 -- [  123.54  2936.46]
491374: 3060.0, 1920.9750000000001 -- [  287.555  1633.42 ]
491643: 3060.0, 2539.7198000000003 -- [ 2520.78      18.9398]
491726: 3060.0, 3060.004 -- [ 2815.92    244.084]
491773: 3060.0, 2743.288 -- [ 2611.28    132.008]
491800: 3060.0, 1563.862 -- [ 1328.23    235.632]
491853: 3060.0, 3060.0029999999997 -- [  120.173  2939.83 ]
491873: 3060.0, 2766.716 -- [  194.316  2572.4  ]
491926: 3060.0, 2521.805 -- [  138.515  2383.29 ]
492362: 3060.0, 2413.3197 -- [ 2389.94      23.3797]
492403: 3060.0, 2756.4926 -- [   20.0826  2736.41  ]
492429: 3060.0, 1685.7730000000001 -- [  157.343  1528.43 ]
492608: 3060.0, 2649.691 -- [ 2534.49    115.201]
492655: 3060.0, 2721.983 -- [  152.353  2569.63 ]
492734: 3060.0, 3060.002 -- [ 2892.07    167.932]
492748: 3060.0, 3060.0049999999997 -- [ 2932.99    127.015]
492947: 3060.0, 1987.817 -- [ 1829.34    158.477]
493093: 3060.0, 1499.8149999999998 -- [  174.195  1325.62 ]
493135: 3060.0, 2471.31 -- [ 2315.4    155.91]
493205: 3060.0, 3060.002 -- [  134.942  2925.06 ]
493239: 3060.0, 1778.412 -- [  172.971  1542.92     62.521]
493428: 3060.0, 1842.042 -- [  181.292  1660.75 ]
493450: 3060.0, 2816.7110000000002 -- [  121.521  2695.19 ]
493475: 3060.0, 2732.319 -- [ 2572.97    159.349]
493516: 3060.0, 1980.96156 -- [ 1975.51        5.45156]
493617: 3060.0, 2865.667 -- [ 2543.44    322.227]
493730: 3060.0, 2738.6046 -- [   39.2646  2699.34  ]
493753: 3060.0, 3060.003 -- [ 2818.5     241.503]
493775: 3060.0, 1030.041 -- [ 118.567  911.474]
493819: 3060.0, 2861.7780000000002 -- [  102.588  2759.19 ]
493995: 3060.0, 3059.996 -- [ 2643.52    416.476]
494018: 3060.0, 2807.5094 -- [   83.3594  2724.15  ]
494023: 3060.0, 3060.005 -- [  250.835  2809.17 ]
494050: 3060.0, 2519.004 -- [ 2138.02    380.984]
494141: 3060.0, 695.589 -- [ 446.932  248.657]
494231: 3060.0, 2543.752 -- [ 1875.25    668.502]
494321: 3060.0, 2855.8469999999998 -- [ 2739.41    116.437]
494549: 3060.0, 3059.998 -- [ 2753.41    306.588]
494553: 3060.0, 3060.0 -- [  131.78  2928.22]
494667: 3060.0, 561.708 -- [ 130.852  430.856]
494729: 3060.0, 3025.2547 -- [   90.5747  2934.68  ]
494735: 3060.0, 1075.7330000000002 -- [ 136.485  939.248]
494818: 3060.0, 2765.89806 -- [  1.28806000e+00   2.76461000e+03]
494894: 3060.0, 73.66857 -- [ 72.1994    1.46917]
495019: 3060.0, 3060.004 -- [ 2851.72    208.284]
495066: 3060.0, 2808.70841 -- [  1.59579000e+02   1.88941000e+00   2.64724000e+03]
495332: 3060.0, 2755.6043 -- [   44.9843  2710.62  ]
495459: 3060.0, 2499.2315 -- [   25.2915  2473.94  ]
495521: 3060.0, 993.3848 -- [ 926.231    67.1538]
495632: 3060.0, 2857.6444 -- [   50.5844  2807.06  ]
495661: 3060.0, 2562.8841 -- [   93.9041  2468.98  ]
495790: 3060.0, 2917.038 -- [ 2719.83    197.208]
495802: 3060.0, 3060.005 -- [ 2933.87    126.135]
495970: 3060.0, 717.681 -- [ 542.823  174.858]
495981: 3060.0, 2836.3445 -- [   64.0845  2772.26  ]
495997: 3060.0, 2691.482 -- [  152.479   197.023  2341.98 ]
496046: 3060.0, 1980.8473000000001 -- [   73.4373  1907.41  ]
496257: 3060.0, 2963.665 -- [  721.305  2242.36 ]
496316: 3060.0, 2088.071 -- [  124.331  1963.74 ]
496655: 3060.0, 2719.844 -- [ 2257.97    461.874]
496741: 3060.0, 816.20346 -- [ 812.197      4.00646]
496763: 3060.0, 3060.0029999999997 -- [ 2830.87    229.133]
496812: 3060.0, 2350.2742 -- [  159.194   2114.6       76.4802]
496911: 3060.0, 2460.8026999999997 -- [ 2449.83      10.9727]
497048: 3060.0, 3059.996 -- [ 2845.71    214.286]
497078: 3060.0, 1799.342 -- [  478.332  1321.01 ]
497117: 3060.0, 465.2919 -- [ 428.02     37.2719]
497120: 3060.0, 2581.051 -- [ 2272.44    308.611]
497393: 3060.0, 2725.541 -- [  205.761  2519.78 ]
497489: 3060.0, 2233.55 -- [ 1095.94  1137.61]
497631: 3060.0, 1900.633 -- [  250.183  1650.45 ]
497910: 3060.0, 3059.9990000000003 -- [  138.679  2921.32 ]
497993: 3060.0, 3060.0029999999997 -- [  139.513  2920.49 ]
498158: 3060.0, 3059.999 -- [ 2597.74    462.259]
498438: 3060.0, 454.72 -- [ 343.75  110.97]
498444: 3060.0, 2659.6299999999997 -- [  856.295  1495.07    308.265]
498481: 3060.0, 3059.998 -- [  276.968  2783.03 ]
498582: 3060.0, 2305.365 -- [ 2189.37    115.995]
498585: 3060.0, 3060.005 -- [ 2924.83    135.175]
498762: 3060.0, 2819.4609 -- [   17.0909  2802.37  ]
498801: 3060.0, 2408.9570000000003 -- [ 2320.63     88.327]
498884: 3060.0, 2709.2264999999998 -- [   18.3565  2690.87  ]
498888: 3060.0, 3059.9975940000004 -- [  2.90265000e+03   8.26594000e-01   1.56521000e+02]
498972: 3060.0, 2854.0672600000003 -- [    6.43726  2847.63   ]
499025: 3060.0, 3060.004 -- [  186.534  2873.47 ]
499122: 3060.0, 2276.65535 -- [  1.19535000e+00   2.27546000e+03]
499130: 3060.0, 2746.9010000000003 -- [ 2104.03    433.311   209.56 ]
499206: 3060.0, 2663.8259999999996 -- [  123.586  2540.24 ]
499542: 3060.0, 2559.023 -- [  268.773  2290.25 ]
499554: 3060.0, 3060.0 -- [ 2928.97   131.03]
499684: 3060.0, 2849.4249999999997 -- [  150.055  2699.37 ]
499730: 3060.0, 2831.657 -- [ 2553.      278.657]
499937: 3060.0, 2072.3585000000003 -- [ 1982.43      89.9285]
500018: 3060.0, 2690.85 -- [ 2469.72   221.13]
500117: 3060.0, 3060.004 -- [  170.664  2889.34 ]
500140: 3060.0, 2892.5060000000003 -- [  228.936  2663.57 ]
500169: 3060.0, 1638.562 -- [  291.742  1346.82 ]
500176: 3060.0, 1190.98 -- [ 197.106  993.874]
500214: 3060.0, 3060.003 -- [ 2687.51    372.493]
500255: 3060.0, 3060.003 -- [  188.433  2871.57 ]
500431: 3060.0, 3060.0009999999997 -- [ 2848.37    211.631]
500494: 3060.0, 3060.004 -- [  296.924  2763.08 ]
500617: 3060.0, 2838.442 -- [  748.172  2090.27 ]
500825: 3060.0, 3060.003 -- [ 2873.11    186.893]
500832: 3060.0, 2781.843 -- [ 2023.38    758.463]
500887: 3060.0, 314.66200000000003 -- [ 136.37   178.292]
500966: 3060.0, 423.51800000000003 -- [ 237.838  185.68 ]
501008: 3060.0, 2871.6420000000003 -- [  105.222  2766.42 ]
501048: 3060.0, 2940.5071 -- [ 2878.45      62.0571]
501107: 3060.0, 2440.7167 -- [ 2391.67      49.0467]
501309: 3060.0, 1874.8226 -- [   44.5826  1830.24  ]
501327: 3060.0, 431.69300000000004 -- [ 304.641  127.052]
501413: 3060.0, 859.0103 -- [  90.4113  768.599 ]
501505: 3060.0, 3060.004 -- [  383.834  2676.17 ]
501537: 3060.0, 2296.42117 -- [ 2287.06        9.36117]
501622: 3060.0, 2694.0865000000003 -- [ 2651.07      43.0165]
501712: 3060.0, 2777.809 -- [ 2641.19    136.619]
501749: 3060.0, 3060.0049999999997 -- [ 2902.16    157.845]
501798: 3060.0, 2799.0825 -- [   65.4025  2733.68  ]
501842: 3060.0, 2332.7507 -- [ 2243.71      89.0407]
501895: 3060.0, 2457.6 -- [  239.35  2218.25]
501951: 3060.0, 2728.374 -- [ 2176.      552.374]
502130: 3060.0, 3060.004 -- [ 2883.93    176.074]
502409: 3060.0, 2892.1710000000003 -- [ 2731.46    160.711]
502493: 3060.0, 3060.0044 -- [   85.5244  2974.48  ]
502650: 3060.0, 2907.9242 -- [ 2867.67      40.2542]
502676: 3060.0, 2509.7425000000003 -- [ 2451.86      57.8825]
502728: 3060.0, 3059.999 -- [ 2915.75    144.249]
502857: 3060.0, 2422.7585 -- [ 2330.41      92.3485]
503023: 3060.0, 2048.292 -- [ 1743.67    304.622]
503326: 3060.0, 2583.169 -- [ 1648.07    935.099]
503376: 3060.0, 2927.2874 -- [   68.2074  2859.08  ]
503645: 3060.0, 3060.003 -- [  131.393  2928.61 ]
503775: 3060.0, 2122.6710000000003 -- [   53.998  1636.13    432.543]
503811: 3060.0, 3059.999 -- [  225.339  2834.66 ]
503884: 3060.0, 2191.021 -- [ 2044.98    146.041]
504079: 3060.0, 1362.391 -- [ 1219.89    142.501]
504213: 3060.0, 657.7149999999999 -- [ 287.604  370.111]
504269: 3060.0, 2078.063 -- [  701.813  1376.25 ]
504305: 3060.0, 2581.642 -- [ 2177.58    404.062]
504359: 3060.0, 2623.222 -- [ 2282.59    340.632]
504591: 3060.0, 1556.174 -- [ 1219.86    336.314]
504778: 3060.0, 1580.4189999999999 -- [ 1446.08    134.339]
504898: 3060.0, 3060.001 -- [ 2844.09    215.911]
504906: 3060.0, 190.3483 -- [ 152.528    37.8203]
505033: 3060.0, 3059.995 -- [ 2803.67    256.325]
505270: 3060.0, 2546.278 -- [  388.868  2157.41 ]
505343: 3060.0, 663.1731 -- [  19.9141  643.259 ]
505401: 3060.0, 2755.118 -- [ 2009.62    745.498]
505403: 3060.0, 2406.92 -- [  795.48  1611.44]
505490: 3060.0, 2231.92 -- [ 1000.43  1231.49]
505493: 3060.0, 3060.0 -- [  144.15  2915.85]
505528: 3060.0, 2805.9746 -- [ 2725.64      80.3346]
505552: 3060.0, 1869.482 -- [  178.412  1691.07 ]
505604: 3060.0, 3059.999 -- [  247.819  2812.18 ]
505753: 3060.0, 2676.436 -- [  224.996  2451.44 ]
505794: 3060.0, 1375.114 -- [ 1282.97     92.144]
505830: 3060.0, 2936.2709999999997 -- [ 2737.16    199.111]
505834: 3060.0, 84.49119999999999 -- [ 67.4769  17.0143]
505915: 3060.0, 3060.003 -- [ 2939.32    120.683]
506154: 3060.0, 2042.19 -- [  278.56  1763.63]
506255: 3060.0, 2071.6556 -- [ 1974.59      97.0656]
506275: 3060.0, 1102.3809999999999 -- [ 279.861  822.52 ]
506514: 3060.0, 1882.928 -- [  211.948  1670.98 ]
506551: 3060.0, 531.727 -- [ 340.608  191.119]
506819: 3060.0, 2676.1918 -- [  118.659     37.2128  2520.32  ]
506896: 3060.0, 2572.31 -- [ 1694.24   878.07]
